PERMNO,date,TICKER,VOL,RET,ALTPRC,RETX
17778,2007-08-31,BRK,109,0.076273,118390.00000,0.076273
17778,2007-09-28,BRK,55,0.001014,118510.00000,0.001014
17778,2007-10-31,BRK,96,0.118049,132500.00000,0.118049
17778,2007-11-30,BRK,176,0.057358,140100.00000,0.057358
17778,2007-12-31,BRK,136,0.010707,141600.00000,0.010707
17778,2008-01-31,BRK,158,-0.039548,136000.00000,-0.039548
17778,2008-02-29,BRK,107,0.029412,140000.00000,0.029412
17778,2008-03-31,BRK,144,-0.047143,133400.00000,-0.047143
17778,2008-04-30,BRK,144,0.003373,133850.00000,0.003373
17778,2008-05-30,BRK,186,0.005977,134650.00000,0.005977
17778,2008-06-30,BRK,121,-0.103231,120750.00000,-0.103231
17778,2008-07-31,BRK,181,-0.052174,114450.00000,-0.052174
17778,2008-08-29,BRK,149,0.018785,116600.00000,0.018785
17778,2008-09-30,BRK,312,0.120069,130600.00000,0.120069
17778,2008-10-31,BRK,428,-0.115697,115490.00000,-0.115697
17778,2008-11-28,BRK,404,-0.099489,104000.00000,-0.099489
17778,2008-12-31,BRK,249,-0.071154,96600.00000,-0.071154
50737,1976-11-30,BRK,2089,0.141991,32.62500,0.129870
50737,1976-12-31,BRK,1645,0.042146,34.00000,0.042146
50737,1977-01-31,BRK,1075,-0.125000,29.75000,-0.125000
50737,1977-02-28,BRK,923,0.054622,31.37500,0.054622
50737,1977-03-31,BRK,2282,0.150598,35.75000,0.139442
50737,1977-04-29,BRK,979,-0.094406,32.37500,-0.094406
50737,1977-05-31,BRK,678,0.011583,32.75000,0.011583
50737,1977-06-30,BRK,1674,0.087023,35.25000,0.076336
50737,1977-07-29,BRK,1204,-0.141844,30.25000,-0.141844
50737,1977-08-31,BRK,482,-0.099174,27.25000,-0.099174
50737,1977-09-30,BRK,588,0.058716,28.50000,0.045872
50737,1977-10-31,BRK,272,-0.057018,26.87500,-0.057018
50737,1977-11-30,BRK,1023,0.031628,27.37500,0.018605
50737,1977-12-30,BRK,1184,0.068493,29.25000,0.068493
50737,1978-01-31,BRK,1762,-0.025641,28.50000,-0.025641
50737,1978-02-28,BRK,538,-0.078947,26.25000,-0.078947
50737,1978-03-31,BRK,472,0.080952,28.00000,0.066667
50737,1978-04-28,BRK,938,0.098214,30.75000,0.098214
50737,1978-05-31,BRK,1283,0.113821,34.25000,0.113821
50737,1978-06-30,BRK,697,-0.003650,33.75000,-0.014599
50737,1978-07-31,BRK,669,-0.018519,33.12500,-0.018519
50737,1978-08-31,BRK,1596,-0.022642,32.37500,-0.022642
50737,1978-09-29,BRK,1332,-0.009653,-31.68750,-0.021236
50737,1978-10-31,BRK,809,-0.128205,27.62500,-0.128205
50737,1978-11-30,BRK,389,-0.044163,26.00000,-0.058824
50737,1978-12-29,BRK,1126,-0.062500,16.25000,-0.062500
50737,1979-01-31,BRK,497,0.069231,17.37500,0.069231
50737,1979-02-28,BRK,462,-0.064748,16.25000,-0.064748
50737,1979-03-30,BRK,791,0.178154,18.87500,0.161538
50737,1979-04-30,BRK,898,-0.059603,17.75000,-0.059603
50737,1979-05-31,BRK,991,-0.091549,16.12500,-0.091549
50737,1979-06-29,BRK,1346,0.001240,15.87500,-0.015504
50737,1979-07-31,BRK,1082,-0.047244,15.12500,-0.047244
50737,1979-08-31,BRK,1678,0.057851,16.00000,0.057851
50737,1979-09-28,BRK,1498,-0.100313,14.12500,-0.117188
50737,1979-10-31,BRK,873,-0.088496,12.87500,-0.088496
50737,1979-11-30,BRK,705,0.009709,13.00000,0.009709
50737,1979-12-31,BRK,845,0.097692,14.00000,0.076923
50737,1980-01-31,BRK,770,0.071429,15.00000,0.071429
50737,1980-02-29,BRK,810,-0.050000,14.25000,-0.050000
50737,1980-03-31,BRK,636,0.010175,14.12500,-0.008772
50737,1980-04-30,BRK,1183,0.000000,14.12500,0.000000
50737,1980-05-30,BRK,1338,0.185841,16.75000,0.185841
50737,1980-06-30,BRK,881,-0.021194,16.12500,-0.037313
50737,1980-07-31,BRK,588,0.007752,16.25000,0.007752
50737,1980-08-29,BRK,811,0.015385,16.50000,0.015385
50737,1980-09-30,BRK,1505,-0.004545,16.12500,-0.022727
50737,1980-10-31,BRK,510,0.031008,16.62500,0.031008
50737,1980-11-28,BRK,627,-0.052632,15.75000,-0.052632
50737,1980-12-31,BRK,588,-0.092063,14.00000,-0.111111
50737,1981-01-30,BRK,866,0.107143,15.50000,0.107143
50737,1981-02-27,BRK,447,0.016129,15.75000,0.016129
50737,1981-03-31,BRK,730,0.082540,16.75000,0.063492
50737,1981-04-30,BRK,2562,-0.119403,14.75000,-0.119403
50737,1981-05-29,BRK,659,0.033898,15.25000,0.033898
50737,1981-06-30,BRK,677,0.027869,15.37500,0.008197
50737,1981-07-31,BRK,476,0.089431,16.75000,0.089431
50737,1981-08-31,BRK,823,-0.089552,15.25000,-0.089552
50737,1981-09-30,BRK,654,-0.070492,13.87500,-0.090164
50737,1981-10-30,BRK,655,0.000000,-13.87500,0.000000
50737,1981-11-30,BRK,596,0.027027,14.25000,0.027027
50737,1981-12-31,BRK,800,0.038596,14.50000,0.017544
50737,1982-01-29,BRK,380,-0.086207,13.25000,-0.086207
50737,1982-02-26,BRK,245,0.000000,13.25000,0.000000
50737,1982-03-31,BRK,672,0.050943,13.62500,0.028302
50737,1982-04-30,BRK,1043,0.036697,14.12500,0.036697
50737,1982-05-28,BRK,940,0.026549,14.50000,0.026549
50737,1982-06-30,BRK,451,-0.013793,14.00000,-0.034483
50737,1982-07-30,BRK,664,0.008929,-14.12500,0.008929
50737,1982-08-31,BRK,552,-0.008850,14.00000,-0.008850
50737,1982-09-30,BRK,1623,0.041429,14.25000,0.017857
50737,1982-10-29,BRK,3687,0.122807,16.00000,0.122807
50737,1982-11-30,BRK,1533,0.093750,17.50000,0.093750
50737,1982-12-31,BRK,3510,-0.009714,17.00000,-0.028571
50737,1983-01-31,BRK,1747,0.029412,17.50000,0.029412
50737,1983-02-28,BRK,1201,0.014286,17.75000,0.014286
50737,1983-03-31,BRK,1273,0.096056,19.12500,0.077465
50737,1983-04-29,BRK,1075,-0.013072,18.87500,-0.013072
50737,1983-05-31,BRK,1495,-0.046358,18.00000,-0.046358
50737,1983-06-30,BRK,1270,0.039167,18.37500,0.020833
